Application Id,Application Date,Publication Date,Country,Title,Abstract,Applicants,Inventors,y
CN405907689,23.02.2023,15.08.2023,CN,一种利用沼渣制备复合微生物肥的方法及其复合微生物肥,本发明提供一种利用沼渣制备复合微生物肥的方法及其复合微生物肥，涉及微生物肥的技术领域，包括以下制作步骤；S1：将厨余垃圾进行厌氧发酵，得到沼渣，S2：将NH4H2PO4加入至沼渣、酒糟粉、木粉、木炭粉和发酵菌剂、七水硫酸亚铁进行混合翻抛均匀，并移入至发酵槽进行好氧发酵，使其物料腐熟，停止发酵，得到发酵物；S3：将发酵物和腐殖酸、无机肥以一定比例进行搅拌，并加入复合微生物菌进行混合，得到复合微生物肥。,"MEISHAN BANGWOER AGRICULTURAL TECHNOLOGY CO., LTD.; 眉山市邦沃尔农业科技有限公司",LIU WENJUN; 刘文军; ZENG XI; 曾西,0
CN277514085,23.11.2018,12.11.2019,CN,一种防培养料受损的杏鲍菇培养料搅拌装置,本实用新型是一种防培养料受损的杏鲍菇培养料搅拌装置，包括搅拌箱，搅拌箱的上方连有电机，搅拌箱和电机的外部均套有吸音套，搅拌箱的顶部连通有进料斗和进液管，搅拌箱的底部连通有出料管，出料管和进液管上均设有阀门，电机的输出端连有竖向的转轴，转轴的下端伸入搅拌箱的内部，转轴上连有若干搅拌杆，每个搅拌杆的圆周上均匀连有不少于两个的转动装置。本实用新型噪音小，能清除搅拌箱侧壁和底面上的培养料，通过液体分布器和喷嘴，培养料中加入的液体更加均匀，避免培养料在搅拌过程中出现结块，从而保证了搅拌装置的正常运行，提高工作效率，同时保证了培育料混合的均匀性，避免对培养料造成损坏。,"YONGFURAO (TIANJIN) AGRICULTURAL SCIENCE AND TECHNOLOGY DEVELOPMENT CO., LTD.; 永富饶（天津）农业科技发展有限公司",RAO ZIXIANG; 饶自湘,0
WO2011132401,19.04.2011,27.10.2011,WO,CONTINUOUS DRYING BIOMASS GASIFICATION PLANT,"In order to eliminate the need for an operation in prior processes, in which a portion of an aerobic fermentation product is circulated, that is for adjusting the moisture content in an anaerobic fermentation tank entrance, solve issues such as increases in the amount of throughput and in the size of the device unit accompanying said circulation and large amounts of energy consumption within the system, and in addition reduce the size of the device by strengthening the dehydration, drying, and heating functions in aerobic fermentation drying tanks, an aerobic fermentation drying tank is disposed in a prior stage and an anaerobic fermentation state is disposed in a later stage, and generally the entire product from the aerobic fermentation drying tank is loaded into the anaerobic fermentation tank. By employing this process, the conditions for keeping the moisture content within the anaerobic fermentation tank at or below 70 wt% can be effortlessly realized without relying on the abovementioned circulation. In addition, a row of a plurality stirring-assisting blades is installed for scooping up the contents of the aerobic fermentation drying tank and dispersing the contents within the tank.","TOKYO INSTITUTE OF TECHNOLOGY; 国立大学法人東京工業大学; KYOWA CHEMICALPLANT MFG CO.,LTD; 協和化工株式会社; TANAKA, Hiroyuki; 田中裕之; OIKAWA, Mutsuo; 及川睦雄","TANAKA, Hiroyuki; 田中裕之; OIKAWA, Mutsuo; 及川睦雄",0
CN178768632,13.05.2016,12.10.2016,CN,可推拉分层栽植渗滤式堆肥树池,本实用新型公开了一种可推拉分层栽植渗滤式堆肥树池，包括可推拉带孔透水种植槽、种植槽隔断壁、搅拌手柄、堆肥箱顶盖、搅拌轴、打孔防臭防虫隔板、堆肥箱侧壁、堆肥箱正壁、搅拌扇叶、抽屉式集液槽、树池木池壁、排水管道、蓄水层、陶粒层、树池池壁、种植土层、砂层、砾石层和堆肥箱后壁，与现有技术相比，本实用新型能够进行分层栽植，树池内栽树，可推拉带孔透水种植槽内可种植各类草花，高度满足草花生长所必须土壤要求高度，同时种植槽内设有种植槽隔断壁，当人为将种植槽拉开把堆肥箱内的肥料加入树池时，可避免土壤及草花的掉落，对城市雨水进行处理与利用，避免城市道路径流量过大，实现可持续发展。,"SICHUAN AGRICULTURAL UNIVERSITY; SICHUAN TIANYI YOUJING ENVIRONMENT TECHNOLOGY CO., LTD.",LI XI; LIN XINRU; CAI SHIZHEN; HUANG YUANXIANG; CHEN LILIAN; HUANG ZHEN,0
CN231591061,17.04.2018,25.09.2018,CN,一种具有除异味及防飞溅功能的翻堆机,本发明涉及一种具有除异味及防飞溅功能的翻堆机，包括主体、支撑板和旋耕齿，还包括除臭机构和遮挡机构，除臭机构包括吸收组件和处理组件，遮挡机构包括遮挡组件和清扫组件。该具有除异味及防飞溅功能的翻堆机中，通过除臭机构，可以对肥堆中的异味进行吸收及处理，防止异味中的有害气体造成空气污染以及影响操作人员的身体健康，与现有的翻堆机相比，大大提高翻堆机的可靠性和安全性，通过遮挡机构，可以对翻堆机两侧飞溅的肥料进行遮挡及对挡板进行清扫，与现有的翻堆机相比，通过拦截飞溅的肥料并且进行清扫，防止肥料浪费，大大提高了翻堆机的实用性。,"SHENZHEN JIUPIN AIR PURIFICATION TECHNOLOGY CO., LTD.; 深圳市玖品空气净化科技有限公司",QI KUANKUAN; 齐宽宽,1
CN321142406,30.11.2020,16.03.2021,CN,一种岩石山体生态修复结构,本发明涉及生态修复技术领域，公开了一种岩石山体生态修复结构，包括连接杆一、连接板一、连接杆二、连接板二、漏水孔、固定柱、侧挡布、底挡布、种植槽、腐熟堆肥底层、营养土层、种植层、覆土层、腐熟堆肥顶层、顶挡布、固定网和生长孔。本发明结构简单，便于运输、转移、组装，固定效果好，可加快岩石山体的土壤含量修复速率；可适应岩石山体凹凸不平的坡面，使底挡布与坡面的贴合率更高，从而提高修复效果；使用的生物降解布易降解，绿色环保，同时腐熟堆肥中的微生物可加快生物降解布的降解速率，又能为种植层的植物提供更长远的营养成分，进一步提高了修复效率。,HUNAN BRANCH OF CHINA NATIONAL GEOLOGICAL EXPLORATION CENTER OF BUILDING MATERIALS INDUSTRY; 中国建筑材料工业地质勘查中心湖南总队,YANG HAO; 杨浩; ZHUANG SHIYUN; 庄石云; WANG XUGUANG; 汪旭光,0
CN161067263,01.07.2015,20.01.2016,CN,一种改进的厌氧干发酵池,本实用新型公开了一种改进的厌氧干发酵池，其包括橡胶覆膜，所述发酵池包括：U型池壁，所述U型池壁所构成的U型空间内设有储料区，所述U型池壁上方两侧各设有一个翻搅机轮槽，所述储料区与U型池壁中间设有保温层，所述保温层上方设有卡槽，所述卡槽上方设有梯形槽，所述卡槽和梯形槽之间设有橡胶覆膜，所述梯形槽内盛装有水。本实用新型通过改进密封槽与池壁之间填充与固定工艺，同时借助水密封的原理，较好的解决了卡槽与U型池壁之间的密封性能，同时避免了灰尘杂物进入卡槽，使橡胶覆膜与卡槽之间的密封效果也得到保证，从而使得产品的气密性和耐用性得到大大提升。,苏州市吴江区土壤肥料技术指导站,高建峰; 丁瑞芬; 王雪萍; 韩国新; 陈雪明; 莫美英; 李新奇,0
CN394189953,07.07.2022,10.03.2023,CN,一种烟渣好氧发酵生产水溶肥系统,本实用新型提供一种烟渣好氧发酵生产水溶肥系统。所述烟渣好氧发酵生产水溶肥系统包括罐体；内桶，所述内桶固定安装在所述罐体的顶部，所述内桶设于所述罐体内，所述内桶的外壁和底部均开设有网孔；顶盖，所述顶盖通过多个搭扣固定安装在所述罐体的顶部；中轴管，所述中轴管转动安装在所述顶盖上。本实用新型提供的烟渣好氧发酵生产水溶肥系统具有在对物料搅拌的同时，可输送空气，并使空气分散均匀，从而促进烟渣的好氧发酵，提高好氧发酵的效率，且可对输入的空气进行加热，从而使物料受热均匀，并可对发酵而成的水溶肥进行过滤，避免水溶肥中的固体物料堵塞管路的优点。,"YANSHAN WANSHI AGRICULTURAL BIOTECHNOLOGY CO., LTD.; 砚山万施农业生物科技有限公司",LIAO QISHENG; 廖启生; LIN CHENGYUN; 林成运; WANG HUI; 王惠,0
CN205808850,12.01.2017,27.10.2017,CN,一种肥料搅拌机,本实用新型属于有机固体废弃物堆肥技术领域，特别是涉及一种肥料搅拌机，包括料槽、螺旋搅拌传送机构和驱动机构，其中螺旋搅拌传送机构包括一对平行设置的转向相反的两根传动轴，传动轴两端转动支撑在料槽两侧端板上，传动轴上沿轴线分布有多个螺旋形叶片，叶片顶部固定有刀头，搅拌时用于将大物料打碎；传动轴一端与驱动机构连接，相对于驱动机构安装侧，在料槽另一端底部向下设有出料口，所述出料口处所设的两个螺旋形叶片旋向相反；相对于出料口，料槽的驱动机构安装侧为进料端。本实用新型营养物质与物料混合充分且均匀，提高了物料营养成分，增加了经济效益，经过搅拌的物料更易造粒。,LI FENG,LI FENG,1
CN321820652,16.06.2020,30.03.2021,CN,高水发酵物料翻堆机下料控制系统,本实用新型公开一种高水发酵物料翻堆机下料控制系统，包括机架、翻料机构和下料机构，所述的机架底部设置行走机构，机架顶部设置下料机构和发动机，机架顶部和底部之间设置翻料机构；机架的顶部中央前部设置操控室，所述发动机设置于操控室的右后方，所述下料机构包括料斗和下料管，所述的料斗设置在机架的顶部且位于发动机旁，所述的下料管倾斜设置于机架的前侧，下料管的顶端与料斗的底部连通，下料管的底端与机架的一侧连接，下料管朝向地面的一侧间隔均布落料孔，所述下料管的顶端设置阀门，所述行走机构的内侧设置机架的底部支撑架，底部支撑架朝机架的前侧方向设置湿度传感器，所述的湿度传感器和阀门与控制器电连接。,"NANNING INSTITUTE OF AGRICULTURE SCIENCES; 南宁市农业科学研究所; GUANGXI ACADEMY OF AGRICULTURAL SCIENCES; 广西壮族自治区农业科学院; NANNING BOFA TECHNOLOGY CO., LTD.; 南宁市博发科技有限公司",WANG DONGMEI; 王冬梅; LIU YONGXIAN; 刘永贤; DENG KUN; 邓坤; PAN LIPING; 潘丽萍; TAN JUN; 谭骏; ZHU LIN; 朱琳,1
